DENOMINACIÓN;ENDEREZO;CÓDIGO POSTAL;LOCALIDADE;PROVINCIA;TELÉFONO;FAX;EMAIL;WEB;XESTIÓN AUTONÓMICA;LIGAZÓN GOOGLE MAPS;COORDENADAS
Colección visitable do Castro das Travesas;Casa da Cultura, rúa de Paleo, 17;15715;Carral;A Coruña;981672580;;cultura@carral.es;http://www.carral.es;Non;https://www.google.com/maps/place/Casa+de+Cultura+de+Carral/@43.228401,-8.3609287,15z/data=!4m5!3m4!1s0x0:0x4fa5f27b976a10e7!8m2!3d43.228401!4d-8.3609287;43.228401,-8.3609287
Museo Mares de Cedeira;Casa do Pescador, Camiño de Area Longa;15350;Cedeira;A Coruña;620972981;;maresdecedeira@gmail.com;https://maresdecedeira.gal;Non;https://www.google.com/maps/place/Museo+Mares+de+Cedeira/@43.6583243,-8.0605941,15z/data=!4m5!3m4!1s0x0:0xe0dc3ebef56fb03d!8m2!3d43.6583243!4d-8.0605941;43.6583243,-8.0605941
Colección Fernando Blanco de Lema;Praza da Constitución, 25;15270;Cee;A Coruña;981747221;;fundacioncee@hotmail.com;http://www.museofernandoblanco.org;Non;https://maps.google.es/maps?q=42.955056,+-9.186639&hl=es&sll=43.362056,-8.412417&sspn=0.008752,0.021136&t=m&z=16;42.955056, -9.186639
Museo do Moucho;Avda. de Galicia, 39;15185;Cerceda;A Coruña;981686215;981685205;museodomouchocentrosocial@yahoo.es;https://www.cerceda.org ;Non;https://maps.google.es/maps?q=43.188472,+-8.474555&hl=en&ll=43.188602,-8.47467&spn=0.001052,0.002642&sll=42.880162,-8.542686&sspn=0.00105,0.002642&t=h&z=19;43.188472, -8.474555
Museo do Humor de Fene;Casa da Cultura. Rúa Conces, 20-22;15500;Fene;A Coruña;981341451 / 981342400;981342400;museodohumor@gmail.com;https://fene.gal;Non;https://maps.google.es/maps?q=43.476916,+-8.165806&hl=en&ll=43.47709,-8.165857&spn=0.004189,0.010568&sll=43.476990,-8.165799&t=h&z=17;43.476916, -8.165806
Museo da Construción Naval;Rúa Irmandiños, s/n. Cantón de Molins;15490;Ferrol;A Coruña;981359682;;exponav@exponav.org;https://www.exponav.org;Non;https://www.google.com/maps/place/Museo+de+la+Construcci%C3%B3n+Naval/@43.4825066,-8.2311246,15z/data=!4m2!3m1!1s0x0:0xaebb32d65fcb670c?sa=X&ved=2ahUKEwi7j86wj6TpAhUGmRoKHcCKAUAQ_BIwCnoECBQQCA;43.4825066,-8.2311246
Museo Naval de Ferrol;Irmandiños s/n. “Centro de Herrerías”. Cantón de Molíns;15490;Ferrol;A Coruña;981338907 / 981336027 ;;museonavalferrol@fn.mde.es;https://www.fundacionmuseonaval.com/museonavalferrol.html;Non;https://www.google.com/maps/place/Museo+Naval+Ferrol/@43.4818299,-8.2321001,15z/data=!4m5!3m4!1s0x0:0xe639002c7f11116b!8m2!3d43.4818299!4d-8.2321001;43.4818299,-8.2321001
Museo do Mar de Laxe;Rúa Pracer, 5;15117;Laxe;A Coruña;981735393 / 981706903;981706964;museo@laxe.es;https://turismolaxe.gal/museo-do-mar;Non;https://www.google.com/maps/place/Museo+do+Mar+de+Laxe/@43.2218575,-9.0060308,15z/data=!4m2!3m1!1s0x0:0x1d12389c178751fc?sa=X&ved=2ahUKEwj21Ou1kaTpAhUCy4UKHYxHCyYQ_BIwE3oECBEQCA;43.2218575,-9.0060308
Museo da Terra de Melide;Rúa do Convento, s/n;15800;Melide;A Coruña;981507998;;museomelide@telefonica.net;http://museodaterrademelide.blogspot.com;Non;https://maps.google.es/maps?q=42.915278,+-8.016722&hl=en&ll=42.915277,-8.016723&spn=0.001049,0.002642&sll=42.87211,-8.537&sspn=0.008398,0.021136&t=h&z=19;42.915278, -8.016722
Casa Museo da Fundación Camilo José Cela;Santa María, 22. Iria Flavia;15917;Padrón;A Coruña;981810348;981810453;visitas@fundacioncela.com ;http:/www./fundacioncela.com;Non;https://maps.google.es/maps?q=42.745889,+-8.655889&hl=es&ll=42.745893,-8.655896&spn=0.00884,0.021136&sll=42.562889,-8.827499&sspn=0.008866,0.021136&t=m&z=16;42.745889, -8.655889
Casa Museo Rosalía de Castro;A Matanza, s/n;15970;Padrón;A Coruña;981811204;981811294;fundacion@rosaliadecastro.gal;https://rosalia.gal;Non;https://maps.google.es/maps?q=42.738416,+-8.651861&hl=es&sll=42.886892,-8.513589&sspn=0.00441,0.010568&t=m&z=16;42.738416, -8.651861
Colección Visitable Fundación Museo de Artes;Lugar de Outeiro-Artes;15969;Ribeira;A Coruña;981871342;;fundartes@gmail.com;http://www.fundartes.com;Non;https://maps.google.es/maps?q=42.573916,+-9.005583&hl=es&sll=42.880328,-8.550346&sspn=0.001103,0.002642&t=m&z=16;42.573916, -9.005583
Museo Galego de Arte Contemporánea 'Carlos Maside';Castro de Samoedo;15160;Sada;A Coruña;902246644;981623804;ocastro@sargadelos.com;https://www.sargadelos.com/es/content/41-museo-carlos-maside/;Non;https://maps.google.es/maps?q=43.339472,+-8.270777&hl=en&ll=43.339473,-8.270777&spn=0.001042,0.002642&sll=42.799929,-8.017734&sspn=2.152288,5.410767&t=h&z=19;43.339472, -8.270777
Centro Galego de Arte Contemporánea;Rúa Valle-Inclán, s/n;15704;Santiago de Compostela;A Coruña;981546619;981546625;cgac@xunta.gal;https://cgac.xunta.gal;Si;https://maps.google.es/maps?q=42.8825288536262,+-8.53935420513153&hl=es&sll=42.335192,-7.863883&sspn=0.008899,0.021136&t=m&z=16;42.8825288536262, -8.53935420513153
Colección de Anestesioloxía e Reanimación;Rúa de San Francisco, s/n;15704;Santiago de Compostela;A Coruña;881812219;;;;Non;https://maps.google.es/maps?q=42.870888,+-8.546722&hl=es&sll=42.939889,-9.19075&sspn=0.008812,0.021136&t=m&z=16;42.870888, -8.546722
Colección dos Gabinetes de Ciencias do Antigo Instituto de Santiago;I.E.S. Arcebispo Xelmírez I, Campus Universitario Sur, s/n;15705;Santiago de Compostela;A Coruña;981584231;981584533;ies.arcebispo.xelmirez@edu.xunta.es ;;Non;https://maps.google.es/maps?q=42.88033,-8.550354&hl=es&num=1&t=m&z=19;42.88033,-8.550354
Museo Casa da Troia;Rúa da Troia, 5;15704;Santiago de Compostela;A Coruña;981585159;;visitas@lacasadelatroya.org;http://www.lacasadelatroya.org/;Non;https://maps.google.es/maps?q=42.88161,+-8.543444&hl=es&sll=43.365806,-8.388277&sspn=0.008751,0.021136&t=m&z=16;42.88161, -8.543444
Museo Catedralicio de Santiago de Compostela;Catedral de Santiago de Compostela. Praza das Praterías, s/n;15704;Santiago de Compostela;A Coruña;902557812 / 981569327;981563366;museo@catedraldesantiago.es;http://www.catedraldesantiago.es ;Non;https://maps.google.es/maps?q=42.880277,+-8.545139&hl=es&ll=42.880273,-8.545132&spn=0.008821,0.021136&sll=42.88161,-8.543444&sspn=0.008821,0.021136&t=m&z=16;42.880277, -8.545139
Museo da Colexiata do Sar;Colexiata do Sar, s/n;15702;Santiago de Compostela;A Coruña;981562891;981572891;colegiatadesar@colegiatadesar.com;http://www.colegiatadesar.com;Non;https://maps.google.es/maps?q=42.87211,+-8.537&hl=en&sll=43.368522,-8.389011&sspn=0.001041,0.002642&t=h&z=16;42.87211, -8.537
Museo das Peregrinacións e de Santiago;Praza das Praterías, s/n;15704;Santiago de Compostela;A Coruña;981581558;981581955;informacion.mdperegrinacions@xunta.gal;https://museoperegrinacions.xunta.gal;Si;https://www.google.es/maps?q=42.882114,-8.542819&hl=gl&sll=42.335133,-7.863636&sspn=0.00713,0.009645&t=h&z=17;42.882114,-8.542819
Museo de Historia Natural 'Luis Iglesias';Facultade de Ciencias Químicas. Campus Universitario. Avda. das Ciencias, s/n;15706;Santiago de Compostela;A Coruña;981593589 / 981563100 ext. 14202;981595012;visitas.museohistorianatural@usc.es;http://www2.usc.es/museohn;Non;https://maps.google.es/maps?q=42.876249,+-8.551083&hl=en&ll=42.876247,-8.551081&spn=0.002099,0.005284&sll=43.371006,-8.392707&sspn=0.000521,0.001321&t=h&z=18;42.876249, -8.551083
Museo de Terra Santa;Convento de San Francisco. Campiño de San Francisco, 3;15705;Santiago de Compostela;A Coruña;981581600;981571916;museots@gmail.com;http://www.franciscanos-santiago.org/a/museotierrasanta;Non;https://maps.google.es/maps?q=42.883389,+-8.54575&hl=en&sll=42.876247,-8.551081&sspn=0.002099,0.005284&t=h&z=16;42.883389, -8.54575
Museo do Mosteiro de San Paio de Antealtares;Mosteiro de San Paio de Antealtares. Rúa de Antealtares, 23;15704;Santiago de Compostela;A Coruña;981583127;982560623;monasteriosanpelayo@gmail.com;https://monasteriosanpelayo.org;Non;https://maps.google.es/maps?q=42.880138,+-8.542694&hl=en&ll=42.880162,-8.542686&spn=0.00105,0.002642&sll=43.47709,-8.165857&sspn=0.004189,0.010568&t=h&z=19;42.880138, -8.542694
Museo do Pobo Galego;Mosteiro de San Domingos de Bonaval;15703;Santiago de Compostela;A Coruña;981583620;981554840;info@museodopobo.gal;http://www.museodopobo.gal;Non;https://maps.google.es/maps?q=42.882749,+-8.539139&hl=en&ll=42.882788,-8.539145&spn=0.002099,0.005284&sll=43.188602,-8.47467&sspn=0.001052,0.002642&t=h&z=18;42.882749, -8.539139
Museo Granell;Pazo de Bendaña. Praza do Toral, s/n;15705;Santiago de Compostela;A Coruña;981576394 / 981572124;981564069;info@fundacion-granell.org ;http://www.fundacion-granell.org ;Non;https://maps.google.es/maps?q=42.877722,+-8.544833&hl=en&ll=42.877725,-8.544831&spn=0.002099,0.005284&sll=43.339473,-8.270777&sspn=0.001042,0.002642&t=h&z=18;42.877722, -8.544833
Museo Pedagóxico de Galicia (Mupega);San Lázaro, 107;15781;Santiago de Compostela;A Coruña;981540150 / 981540155;981540154;museo.pedagoxico.galicia@edu.xunta.es;http://www.edu.xunta.gal/mupega/;Si;https://maps.google.es/maps?q=42.886892,-8.513687&hl=es&num=1&t=m&z=17;42.886892,-8.513687
Museo Comarcal da Fonsagrada;Praza do Museo, s/n;27110;A Fonsagrada;Lugo;982340507;;museofonsagrada@telefonica.net;http://museodafonsagrada.org;Non;https://maps.google.es/maps?q=43.125456,-7.069748&ll=43.12554,-7.069429&spn=0.001045,0.002642&num=1&t=h&z=19;43.125456,-7.069748
"Colección visitable do Barco-Museo Boniteiro ""Reina del Carmen""";Explanada portuaria. Porto pesqueiro, s/n;27880;Burela;Lugo;982581213 / 982580609;982585945;turismo@burela.org ;https://www.turismoburela.org/barco_museo.php;Non;https://maps.google.es/maps?q=43.660936,+-7.355372&hl=en&ll=43.660933,-7.355368&spn=0.008289,0.021136&sll=-7.355372,43.660936&sspn=135.684744,346.289063&t=h&z=16;43.660936, -7.355372
Museo do Castro de Viladonga;Viladonga;27259;Castro de Rei;Lugo;982314255;982314194;museo.viladonga@xunta.gal;https://viladonga.xunta.gal;Si;https://www.google.es/maps?q=43.16074,-7.387387&hl=gl&sll=42.326947,-8.785048&sspn=0.007131,0.009645&t=h&z=17;43.16074,-7.387387
Palloza Casa do Sesto;Piornedo dos Ancares;27667;Cervantes;Lugo;982151619 / 982245540 / 982151717;;isolina@pallozamuseocasadosesto.com ;http://www.pallozamuseocasadosesto.com ;Non;https://maps.google.es/maps?q=42.855849,-6.875549&ll=42.855951,-6.875564&spn=0.0021,0.005284&num=1&t=h&z=18;42.855849,-6.875549
Museo Histórico de Sargadelos;Paraño, s/n. Sargadelos;27891;Cervo;Lugo;982107654;982557804;sargadelos@sargadelos.com;;Non;https://maps.google.es/maps?q=43.661162,-7.404555&ll=43.660743,-7.404769&spn=0.002072,0.005284&num=1&t=h&z=18;43.661162,-7.404555
Museo Provincial do Mar;Avda. da Mariña, s/n. San Cibrao;27890;Cervo;Lugo;982594572;;museodomar@museolugo.org;http://redemuseisticalugo.org ;Non;https://maps.google.es/maps?q=43.695639,+-7.441944&hl=en&ll=43.695641,-7.441944&spn=0.001036,0.002642&sll=43.011363,-7.559023&sspn=0.001481,0.002642&t=h&z=19;43.695639, -7.441944
Museo Parroquial de San Martiño de Mondoñedo;O Caritel, s/n. San Martiño de Mondoñedo;27789;Foz;Lugo;982132607;;;http://www.mondonedoferrol.org/museos;Non;https://maps.google.es/maps?q=43.56095,-7.303264&num=1&t=h&z=18;43.56095,-7.303264
Museo Etnográfico e da Historia de San Paio de Narla;Torre de Xiá, Narla;27226;Friol;Lugo;982375156;;sanpaiodenarla@museolugo.org;http://redemuseisticalugo.org ;Non;https://maps.google.es/maps?q=43.007194,+-7.820694&hl=en&ll=43.007197,-7.820699&spn=0.001047,0.002642&sll=43.428224,-7.363114&sspn=0.00208,0.005284&t=h&z=19;43.007194, -7.820694
Museo de Arte Sacra de Vilanova de Lourenzá;Praza do Conde Santo, s/n;27760;Lourenzá;Lugo;982121073;;;http://www.mondonedoferrol.org/museos;Non;https://maps.google.es/maps?q=43.470666,+-7.298027&hl=en&ll=43.470666,-7.298023&spn=0.002079,0.005284&sll=42.523111,-7.51578&sspn=0.001056,0.002642&t=h&z=18;43.470666, -7.298027
Museo Diocesano e Catedralicio de Lugo;Catedral de Lugo. Praza de Santa María, 1;27001;Lugo;Lugo;982808569;;info@mdclugo.gal;https://www.mdclugo.gal;Non;https://maps.google.es/maps?q=43.009778,+-7.557917&hl=en&ll=43.009778,-7.557918&spn=0.002962,0.005284&sll=43.12554,-7.069429&sspn=0.001045,0.002642&t=h&z=18;43.009778, -7.557917
Museo Provincial de Lugo;Praza da Soidade, s/n;27003;Lugo;Lugo;982242112;982240240;info@museolugo.org ;http://redemuseisticalugo.org ;Non;https://maps.google.es/maps?q=43.011361,+-7.559028&hl=en&ll=43.011363,-7.559023&spn=0.001481,0.002642&sll=43.011361,-7.559028&sspn=0.008379,0.021136&t=h&z=19;43.011361, -7.559028
Obradoiro e Arquivo de Documentación Musical do Centro de Artesanía e Deseño;Travesía da rúa Chantada;27004;Lugo;Lugo;982210066;982219014;luciano.perez@deputacionlugo.org ;http://cultura.deputacionlugo.gal/centrad ;Non;https://maps.google.es/maps?q=43.011116,-7.563811&ll=43.011348,-7.563934&spn=0.001492,0.002642&num=1&t=h&z=19;43.011116,-7.563811
Museo Diocesano e Catedralicio de Mondoñedo;Praza da Catedral, s/n;27740;Mondoñedo;Lugo;982521006;;pdvill7@yahoo.es;http://www.mondonedoferrol.org/museos;Non;https://maps.google.es/maps?q=43.428222,+-7.363111&hl=en&ll=43.428224,-7.363114&spn=0.00208,0.005284&sll=43.009778,-7.557918&sspn=0.002962,0.005284&t=h&z=18;43.428222, -7.363111
Museo de Arte Sacra das Clarisas de Monforte;Convento das Clarisas. Rúa de Santa Clara, s/n;27400;Monforte de Lemos;Lugo;982401544;;sacro33@hotmail.com;;Non;https://maps.google.es/maps?q=42.52311,+-7.515778&hl=en&ll=42.523111,-7.51578&spn=0.001056,0.002642&sll=-6.664608,42.539063&sspn=135.744691,346.289063&t=h&z=19;42.52311, -7.515778
Museo de Nosa Señora da Antiga;P.P. Escolapios. Campo da Compañía, 50;27400;Monforte de Lemos;Lugo;982404715;;turismo@concellodemonforte.com;https://escolapiosmonforte.es;Non;https://maps.google.es/maps?q=42.518499,+-7.516472&hl=en&ll=42.518497,-7.516472&spn=0.002111,0.005284&sll=43.470666,-7.298023&sspn=0.002079,0.005284&t=h&z=18;42.518499, -7.516472
Museo Parroquial de Monterroso;Casa Reitoral. Rúa Ramón Díaz, 7;27560;Monterroso;Lugo;982377181;;;;Non;https://maps.google.es/maps?q=42.793777,+-7.835722&hl=en&ll=42.793779,-7.83572&spn=0.001051,0.002642&sll=43.660743,-7.404769&sspn=0.002072,0.005284&t=h&z=19;42.793777, -7.835722
Pazo de Arxeriz;Lugar de Arxeriz, Fión;27548;O Saviñao;Lugo;982031040 / 692941667;;info@sotodefion.org ;http://www.sotodefion.org;Non;https://maps.google.es/maps?q=42.559448,-7.666652&num=1&t=h&z=19;42.559448,-7.666652
Museo Etnográfico do Cebreiro;O Cebreiro  ;27670;Pedrafita do Cebreiro;Lugo;982367053;;;;Si;https://www.google.es/maps?q=42.707818,-7.043826&hl=gl&sll=43.16074,-7.387387&sspn=0.007036,0.009645&t=h&z=17;42.707818,-7.043826
Museo da Prehistoria e Arqueoloxía de Vilalba;Rúa Dr. Domingo Goas, 2;27800;Vilalba;Lugo;982511383;982511383;museo@museovilalba.org;http://www.museovilalba.org;Non;https://maps.google.es/maps?q=43.300806,+-7.676388&hl=en&ll=43.300816,-7.676552&spn=0.00105,0.002642&sll=43.695641,-7.441944&sspn=0.001036,0.002642&t=h&z=19;43.300806, -7.676388
Colección Etnográfica e de Cerámica Regal - Xunqueira;Rúa Camiño Real,127. Xunqueira;27850;Viveiro;Lugo;982562589;;ceramica@oteroregal.com;https://www.regalceramica.com/regal-xunqueira-museos/;Non;https://www.google.es/maps?q=43.653443,-7.597934&hl=gl&sll=42.799929,-8.017734&sspn=2.430308,5.410767&t=h&z=16;43.653443,-7.597934
MIAS (Museo Iconográfico de Arte Sacra de Allariz);Rúa de Castelao, 10;32660;Allariz;Ourense;988442006;;museo@fundacionaserseara.org ;http://www.fundacionaserseara.org;Non;https://maps.google.es/maps?q=42.189598,-7.802458&ll=42.189647,-7.802291&spn=0.001061,0.002642&num=1&t=h&z=19;42.189598,-7.802458
Museo de Arte Sacra de Santa Clara;Real Mosteiro de San Clara. Rúa do Campo da Feira, 14;32660;Allariz;Ourense;988440702;;;https://www.allariz.gal/turismo/museos/;Non;https://maps.google.es/maps?q=42.189,+-7.798222&hl=en&sll=42.799929,-8.017734&sspn=2.152288,5.410767&t=h&z=16;42.189, -7.798222
Museo Galego do Xoguete;Rúa do Portelo, 4;32660;Allariz;Ourense;988440859;;info@museogalegodoxoguete.com;https://www.allariz.gal/turismo/museos/;Non;https://maps.google.es/maps?q=42.189555,+-7.801167&hl=en&ll=42.189554,-7.801162&spn=0.001061,0.002642&sll=42.08683,-7.795165&sspn=0.001063,0.002642&t=h&z=19;42.189555, -7.801167
Parque Etnográfico do Rio Arnoia;Casa da Cultura. Rúa do Castelo, 2 / Rúa do Matadoiro;32660;Allariz;Ourense;988440859;988440078;cultura@allariz.com;https://www.allariz.gal/turismo/museos/;Non;https://maps.google.es/maps?q=42.189105,-7.804301&num=1&t=h&z=18;42.189105,-7.804301
Fundación Cultural Otero Pedrayo;Pazo de Trasalba-Cimadevila;32172;Amoeiro;Ourense;988281139;;fundacion.otero.pedrayo@gmail.com;http://fundacionoteropedrayo.org;Non;https://maps.google.es/maps?q=42.364,+-7.97636&hl=en&ll=42.363998,-7.976364&spn=0.001497,0.002642&sll=42.559393,-7.66611&sspn=0.001055,0.002642&t=h&z=19;42.364, -7.97636
Museo Arqueolóxico Provincial de Ourense;Edificio Santa María de Europa, Rúa Xílgaros s/n.;32005;Ourense;Ourense;988223884;988223701;mapour@xunta.gal;http://www.musarqourense.xunta.es;Si;https://www.google.es/maps?q=42.335133,-7.863636&hl=gl&sll=43.651432,-7.59887&sspn=0.013958,0.01929&t=h&z=17;42.335133,-7.863636
Museo Catedralicio de Ourense;Catedral de Ourense. Praza do Trigo, s/n;32005;Ourense;Ourense;988220992;;acourensemag@gmail.com ;http://www.obispadodeourense.com;Non;https://maps.google.es/maps?q=42.336194,+-7.863056&hl=en&ll=42.336191,-7.863057&spn=0.000749,0.001321&sll=-7.863056,42.336194&sspn=135.652521,346.289063&t=h&z=20;42.336194, -7.863056
Museo Municipal de Ourense;Rúa de Lepanto, 8;32005;Ourense;Ourense;988248970;;museo.municipal@ourense.es;http://ourensecultura.gal/MuseoMunicipal;Non;https://maps.google.es/maps?q=42.336833,+-7.862972&hl=en&ll=42.336833,-7.862971&spn=0.001497,0.002642&sll=42.189554,-7.801162&sspn=0.001061,0.002642&t=h&z=19;42.336833, -7.862972
Museo do Viño de Ribadavia;Santo André de Camporredondo, s/n;32415;Ribadavia;Ourense;988783075;;informacion-museodovinho.cultura@xunta.gal;https://museovinogalicia.xunta.gal ;Si;https://www.google.com/maps/place/Museo+do+Vi%C3%B1o+de+Galicia/@42.3211557,-8.1091578,15z/data=!4m5!3m4!1s0x0:0x54861ab2cebba465!8m2!3d42.3211557!4d-8.1091578;42.3211557,-8.1091578
Museo Etnolóxico de Ribadavia;Rúa de Santiago, nº 10;32400;Ribadavia;Ourense;988471843;988470961;mu.etnoloxico.ribadavia@xunta.gal;http://museoetnoloxicoribadavia.blogspot.com.es;Si;https://maps.google.es/maps?q=42.288480856211464,+-8.142258524894714&hl=es&sll=42.886908,-8.513675&sspn=0.01764,0.042272&t=m&z=16;42.288480856211464, -8.142258524894714
Museo Etnográfico 'Olimpio Liste';Praza do Mosteiro;32136;San Cristovo de Cea;Ourense;986852789;988301620;;;Non;https://maps.google.es/maps?q=42.53937,-7.95097&ll=42.539465,-7.950609&spn=0.002111,0.005284&num=1&t=h&z=18;42.53937,-7.95097
Museo Etnográfico da Limia;Rúa Celanova, 63;32650;Vilar de Santos;Ourense;988465883;988465863;patronato@museodalimia.com;http://www.museodalimia.com;Non;https://maps.google.es/maps?q=42.086833,+-7.795166&hl=en&ll=42.08683,-7.795165&spn=0.001063,0.002642&sll=42.539465,-7.950609&sspn=0.002111,0.005284&t=h&z=19;42.086833, -7.795166
Museo da Colexiata de Xunqueira de Ambía;Colexiata de Xunqueira de Ambía;32670;Xunqueira de Ambía;Ourense;988436049;;;;Non;https://maps.google.es/maps?q=42.204241,-7.735113&num=1&t=h&z=19;42.204241,-7.735113
Museo Arqueolóxico de Santa Trega (Masat);Monte Santa Tegra;36780;A Guarda;Pontevedra;690017038;;masat@aguarda.es;https://www.turismoaguarda.es/masat/;Non;https://maps.google.es/maps?q=41.888416,+-8.871222&hl=en&ll=41.887886,-8.871133&spn=0.002133,0.005284&sll=42.432556,-8.642944&sspn=0.001057,0.002642&t=h&z=18;41.888416, -8.871222
Casa da Navegación;Rúa Ventura Misa, 17;36300;Baiona;Pontevedra;986356688;;casa.navegacion@baiona.org;http://www.baiona.org/web/turismo/cultura/banda-e-escola-municipal-de-musica;Non;https://www.google.com/maps/place/Casa+da+Navegaci%C3%B3n/@42.1189851,-8.8481126,15z/data=!4m2!3m1!1s0x0:0x514d11fefd224abc?sa=X&ved=2ahUKEwjagfmxkp_pAhWRC2MBHZleDTIQ_BIwCnoECBEQCA;42.1189851,-8.8481126
Museo Massó;Avda. Montero Ríos, s/n;36930;Bueu;Pontevedra;986321838;986321838;museo.masso@xunta.gal;http://museomasso.blogspot.com;Si;https://www.google.es/maps?q=42.326947,-8.785048&hl=gl&sll=43.37284,-8.399971&sspn=0.007011,0.009645&t=h&z=17;42.326947,-8.785048
Colección Etnográfico e do Viño de Cambados;Avda. da Pastora, 104;36630;Cambados;Pontevedra;986526119;986520445;museodelvino@hotmail.es;https://cambados.es;Non;https://maps.google.es/maps?q=42.511912,-8.808356&ll=42.51191,-8.808385&spn=0.001056,0.002642&num=1&t=h&z=19;42.511912,-8.808356
