idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8289,Ciudad de Vigo,alojamientos,14,Hotel,Hotel de 4 estrellas,"Concepción Arenal, 5",36201,986227820,www.ciudaddevigo.com,"Amplias habitaciones dotadas de mesa de trabajo y conexión Wifi gratuita, parking, salones de reuniones y congresos así como una amplia carta de restauración.",http://www.turismodevigo.org/sites/turismodevigo/files/alo062.jpg,42.2401549247422,-8.72086138243071,,es-ES
8286,Casablanca,alojamientos,14,Hotel,Hotel de 2 estrellas,"México, 7",36204,986482712,www.hotelcasablancavigo.com,El hotel está situado en pleno centro de la ciudad y cerca de las principales calles comerciales de la ciudad.,http://www.turismodevigo.org/sites/turismodevigo/files/alo059.jpg,42.2334741902694,-8.71500485130544,,es-ES
8281,América,alojamientos,14,Hotel,Hotel de 3 estrellas,"Pablo Morillo, 6",36201,986438922,www.hotelamerica-vigo.com,"Modernas y acogedoras instalaciones, servicio personalizado y de calidad y una situación estratégica en el centro de la ciudad.",http://www.turismodevigo.org/sites/turismodevigo/files/alo053.jpg,42.2398594403046,-8.72184042125555,,es-ES
8287,Celta,alojamientos,14,Hotel,Hotel de 2 estrellas,"México, 22",36204,986414699,www.hotelceltavigo.com,El hotel cuenta con 44 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo060.jpg,42.2329973817858,-8.7155813301487,,es-ES
8285,Canaima,alojamientos,14,Hotel,Hotel de 2 estrellas,"García Barbón, 42",36201,986430934,www.hotelcanaimavigo.es,rooms in the attic have a terrace.,,42.2368168044623,-8.71488069156882,,es-ES
8284,Axis Vigo,alojamientos,14,Hotel,Hotel de 4 estrellas,"María Berdiales, 22",36203,986441112,www.hotelaxisvigo.com,Hotel de reciente apertura ofrece desde su privilegiada ubicación en el centro de Vigo la posibilidad de poder visitar nuestra ciudad con toda comodidad.,http://www.turismodevigo.org/sites/turismodevigo/files/alo056.jpg,42.2356284258673,-8.71733390962759,,es-ES
8288,Chipén,alojamientos,14,Hotel,Hotel de 1 estrella,"La Florida, 12",36210,986231281,www.hotelchipen.com,Inaugurado en 1985 y reformado completamente en el 2005 se encuentra situado en la Plaza de América. Cuenta con plaza de gareje y las habiticiones gozan de todas las comodidades.,http://www.turismodevigo.org/sites/turismodevigo/files/alo061.jpg,42.219593675344,-8.73490936382597,,es-ES
8302,Husa Bahía de Vigo,alojamientos,14,Hotel,Hotel de 4 estrellas,"Avda. Cánovas del Castillo, 24",36202,986226700,www.hotelbahiadevigo.com,El Sercotel Hotel Bahía de Vigo cuenta con 91 habitaciones elegantemente decoradas y equipadas con bañeras hidromasaje. Tiene Internet Wifi gratis en todas sus instalaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo075.jpg,42.2400482511174,-8.72577196996189,,es-ES
8308,México,alojamientos,14,Hotel,Hotel de 3 estrellas,"Vía Norte, 10",36204,986431666,www.mexicohotel.com,"Situado en el centro de Vigo, con maravillosas vistas sobre la Ría, el Hotel México se encuentra a un paso de la zona comercial y de ocio así como del casco histórico y el área portuaria.",http://www.turismodevigo.org/sites/turismodevigo/files/alo081.jpg,42.2337550438392,-8.71278951192356,,es-ES
8321,Puerta de Gamboa,alojamientos,14,Hotel,Hotel de 2 estrellas,Gamboa,36201,986227189,www.hotelpuertagamboa.com,"Estamos ubicados en el casco antiguo de la ciudad, a 50 metros del puerto deportivo y la Estación Marítima, en un edificio del siglo XIX, que hemos rehabilitado completamente dotándola de confort y funcionalidad.",http://www.turismodevigo.org/sites/turismodevigo/files/alo095.jpg,42.2389395257432,-8.72504024307929,,es-ES
8320,Princesa,alojamientos,14,Hotel,Hotel de 1 estrella,"Fermín Penzol, 14",36202,986442013,www.hotelprincesavigo.es,"El hotel está situado en el centro de Vigo, a solo 100 metros del Puerto Marítimo y a 50 metros del Teatro García Barbon, al lado de la Estación de Ferrocarril Adif.",http://www.turismodevigo.org/sites/turismodevigo/files/alo094.jpg,42.238252944599,-8.72491183778334,,es-ES
8319,Playa Santa Baia,alojamientos,14,Hotel,Hotel de 1 estrella,"Avda. Atlántida, 121",36208,986214133,,El hotel dispone de 15 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo093.jpg,42.2213433239887,-8.76786260297968,,es-ES
8318,Playa de Vigo,alojamientos,14,Hotel,Hotel de 1 estrella,Avda. de Samil,36212,986202020,www.hotelplayadevigo.com,"El hotel Playa de Vigo está situado enfrente de la playa de Samil, un amplio arenal con pinares con una longitud de casi 2 km, y 35 m de anchura media.",http://www.turismodevigo.org/sites/turismodevigo/files/alo092.jpg,42.2035767705844,-8.77648624749538,,es-ES
8317,Pazo Los Escudos  Hotel Resort,alojamientos,14,Hotel,Hotel de 5 estrellas,"Avda. Atlántida, 106",36208,986820820,www.pazolosescudos.com,"El hotel se encuentra en un entorno incomparable junto a una playa situada a escasos kilómetros del centro de la ciudad. Ocupa dos edificios, un antiguo Pazo gallego totalmente reformado y un edificio de nueva construcción de ambiente contemporáneo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo090.jpg,42.2237403627321,-8.76161059073016,,es-ES
8316,Pantón,alojamientos,14,Hotel,Hotel de 1 estrella,"Lepanto, 18",36201,986224270,www.hotelpanton.com,"Estratégicamente situado en el centro de la ciudad de Vigo, el Hotel Pantón es un establecimiento familiar que cuenta con parking propio y gratuito en el mismo edificio",http://www.turismodevigo.org/sites/turismodevigo/files/alo089.jpg,42.2347924776436,-8.71538428809984,,es-ES
8301,Hesperia Vigo,alojamientos,14,Hotel,Hotel de 4 estrellas,"Avda. La Florida, 60",36210,986296600,www.hesperia.com,"Ubicado en el corazón del distrito comercial junto a la Plaza de América, el Hesperia Vigo combina la ubicación ideal con comodidades de nivel superior. Dispone de 123 habitaciones, y acceso gratuíto a internet.",http://www.turismodevigo.org/sites/turismodevigo/files/alo074.jpg,42.2157396852384,-8.7405934016528,,es-ES
8315,Ogalia,alojamientos,14,Hotel,Hotel de 2 estrellas,"Lepanto, 10",36201,986222228,www.hotelogalia.es,"Alojado en una construcción totalmente nueva, e inaugurado en 2006, el hotel Ogalia es un moderno establecimiento urbano, situado en el centro de Vigo, en plena zona comercial y de negocios de la ciudad.",http://www.turismodevigo.org/sites/turismodevigo/files/alo088.jpg,42.234800884897,-8.71578341618483,,es-ES
8314,O Pazo,alojamientos,14,Hotel,Hotel de 1 estrella,"Campos, s/n",36213,986236000,www.residenciaopazo.com,Dispone de 13 habitaciones,http://www.turismodevigo.org/sites/turismodevigo/files/alo087.jpg,42.2047671042478,-8.73138564828254,,es-ES
8304,Junquera,alojamientos,14,Hotel,Hotel de 2 estrellas,"Uruguay, 19-21",36201,986434888,www.hoteljunquera.com,Hotel Junquera ofrece una situación inmejorable en pleno centro financiero de Vigo. Cuenta con sala de reuniones para 40 personas y dispone de 63 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo077.jpg,42.2362948135475,-8.71748197090733,,es-ES
8305,La Suite,alojamientos,14,Hotel,Hotel de 2 estrellas,"José de la Peña, 22",36208,986247664,www.lasuitehotel.es,El hotel dispone de 12 habitaciones con una capacidad  total de 24 plazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo078.jpg,42.2222534778022,-8.74951414838685,,es-ES
8306,Lino Vigo,alojamientos,14,Hotel,Hotel de 2 estrellas,"Rúa Lepanto, 26",1º y 2º,36201,986439311,The hotel has forty-six rooms.,,42.234547303965,-8.71520321696971,,es-ES
8307,"Mar, Del",alojamientos,14,Hotel,Hotel de 1 estrella,"Luis Taboada, 34",36201,986436811,www.hotel-del-mar.com,"En pleno centro financiero y comercial de la ciudad de Vigo, junto al club Náutico y al paseo marítimo, próximo al casco antiguo y con fácil acceso a las playas se encuentra el hotel del mar.",http://www.turismodevigo.org/sites/turismodevigo/files/alo080.jpg,42.239894341399,-8.72093311860883,,es-ES
8309,Motel Caribe,alojamientos,14,Hotel,Hotel de 3 estrellas,"Cañiza, 41",36213,986238484,www.motelcaribe.es,El hotel dispone de 55 habitaciones con una capacidad  total de 110 plazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo082.jpg,42.2096683398417,-8.75264589929514,,es-ES
8310,Náutico,alojamientos,14,Hotel,Hotel de 1 estrella,"Luis Taboada, 28",36201,986122440,www.hotelnautico.net,En pleno centro comercial y a muy pocos metros del paseo marítimo donde se encuentra el Club Náutico y Puerto Comercial. Dispone de un Parking a 30 metros del Hotel.,http://www.turismodevigo.org/sites/turismodevigo/files/alo083.jpg,42.2398923926431,-8.72140334672488,,es-ES
8264,Pensión Residencia Real,alojamientos,24,Pensión,Pensión 1 estrella,"Rúa Real, 22 - 1º",36202,986221429,www.hostalrealenvigo.com,Dispone de 4 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo036.jpg,42.239107626715,-8.72732559585762,,es-ES
8240,Ancla Dorada,alojamientos,24,Pensión,Pensión 2 estrellas,"Irmandiños, 22",36203,986436607,www.ancladorada.com,La pensión cuenta con 28 plazas repartidas en 19 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo012.jpg,42.2355070511155,-8.71686916179769,,es-ES
8278,Playa Samil,alojamientos,22,Camping,Camping de 3ª Categoria,"Avenida de Samil, 71",36212,986240210,www.campingplayasamil.com,Cuenta con 265 plazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo050.jpg,42.2058898594448,-8.77660320467861,,es-ES
8277,Islas Cíes,alojamientos,22,Camping,Camping de 3ª Categoria,Isla del Faro (Islas Cíes),36211,986438358,www.campingislascies.com,Cuenta con 800 plazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo049.jpg,42.2211758867683,-8.9058324343757,,es-ES
8276,Canido,alojamientos,22,Camping,Camping de 2ª Categoria,"Praia de Canido, nº 151",36390,986462072,www.campingcanido.es,Cuenta con 152 plazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo048.jpg,42.1938599649832,-8.79608822577247,,es-ES
8252,La Estradense,alojamientos,24,Pensión,Pensión 2 estrellas,"Alfonso XIII, 46",36201,986431512,,Dispone de 20 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo024.jpg,42.2356450411197,-8.71581746685737,,es-ES
8248,"Estrella, La",alojamientos,24,Pensión,Pensión 1 estrella,"Martín Codax, 5",36204,986225035,www.laestrellavigo.es,Dispone de 6 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo020.jpg,42.2356880684808,-8.71637084209452,,es-ES
8247,Continental,alojamientos,24,Pensión,Pensión 3 estrellas,"Baixada á Fonte, 3",36202,986220764,,La pensión cuenta con 18 plazas repartidas en 13 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo019.jpg,42.2396148890858,-8.72556650825868,,es-ES
8246,Consuelo,alojamientos,24,Pensión,Pensión 1 estrella,"Estr. Provincial, 26",2º - 4º,36214,,The hostel can accommodate seven people in five rooms.,,42.2272039763516,-8.71757172379448,,es-ES
8245,Casais,alojamientos,24,Pensión,Pensión 2 estrellas,"Lepanto, 15",36201,886112956,www.hostalcasaisvigo.com,Este pequeño hostal de estilo tradicional le ofrece un alojamiento confortable y una buena ubicación en el centro de la bonita ciudad gallega de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/alo017.jpg,42.2348789591465,-8.71556164357418,,es-ES
8244,Casa Roade,alojamientos,24,Pensión,Pensión 1 estrella,"Baixada Praia Saiáns, 152",36392,986207712,,La pensión cuenta con 8 plazas repartidas en 5 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo016.jpg,42.1730409008897,-8.81230384128116,,es-ES
8243,Buenos Aires,alojamientos,24,Pensión,Pensión 3 estrellas,"Marqués de Valladares, 56",36201,986433924,,La pensión cuenta con 33 plazas repartidas en 18 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo015.jpg,42.2380130534338,-8.71946067098535,,es-ES
8241,Bouzas,alojamientos,24,Pensión,Pensión 3 estrellas,"José de La Peña, 22",36208,986239565,,La pensión dispone de 18 haitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo013.jpg,42.2222375760967,-8.74932936934321,,es-ES
8238,Agra,alojamientos,24,Pensión,Pensión 1 estrella,"Tomás A. Alonso, 66. 1º",36208,986235125,www.hostalagra.com,"Está situado  a 100 m. del puerto de Vigo, a 15 minutos del aeropuerto y a 10 minutos estación de tren y de autobuses. Disponen de una parada de taxis al lado del hostal.",http://www.turismodevigo.org/sites/turismodevigo/files/alo010.jpg,42.2242344659861,-8.73696098686241,,es-ES
8237,A Pedra,alojamientos,24,Pensión,Pensión 3 estrellas,"Praza da Pedra, 7",36202,986431594,,La pensión cuenta con 22 plazas repartidas en 12 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo009.jpg,42.2394801550979,-8.72682436932027,,es-ES
8236,Ipanema,alojamientos,14,Hotel,Hotel de 3 estrellas,"Vázquez Varela, 31",36204,986471344,www.hotelipanema.com,"Cuenta con 60 habitaciones renovadas en enero de 2011. Especializado en clientes de empresa, sus instalaciones disponen de wifi gratuíto.",http://www.turismodevigo.org/sites/turismodevigo/files/alo008.jpg,42.2317513223495,-8.71479010122542,,es-ES
8235,Argentino,alojamientos,14,Hotel,Hotel de 1 estrella,"Lepanto, 8",36201,986443247,www.hotelargentino.es,"El Hotel Argentino es un nuevo establecimiento en Vigo con todas las ventajas que ello supone: impecable y moderno en su equipamiento, en su mobiliario y en su diseño.",http://www.turismodevigo.org/sites/turismodevigo/files/alo007.jpg,42.2347263889189,-8.71590137723012,,es-ES
8234,Zénit Vigo,alojamientos,14,Hotel,Hotel de 3 estrellas,"Gran Vía, 1",36204,986417255,www.zenithoteles.com,Dispone de 99 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo006.jpg,42.2343313426205,-8.71630422916759,,es-ES
8233,Tryp Los Galeones,alojamientos,14,Hotel,Hotel de 4 estrellas,"Avda. de Madrid, 21",32604,986480405,www.galeones.com,"El Tryp Los Galeones, está situado en el centro de Vigo. En la principal entrada a la ciudad por el acceso de Madrid N-120. A poca distancia de los puntos turísticos de mayor interés del casco urbano.",http://www.turismodevigo.org/sites/turismodevigo/files/alo005.jpg,42.2280127853506,-8.7176606920481,,es-ES
8232,"Tres Luces, Las",alojamientos,14,Hotel,Hotel de 3 estrellas,"Cuba, 19",36204,986480250,www.hotel3luces.com,"El Sercotel Hotel Tres Luces es un elegante y confortable hotel en Vigo ubicado a pocos metros de la Estación de Trenes, en pleno núcleo financiero y comercial y a pocos minutos del centro histórico de Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo004.jpg,42.2326516695984,-8.71654899326392,,es-ES
8253,La Nueva Colegiata,alojamientos,24,Pensión,Pensión 2 estrellas,"Praza da Igrexa, 3",1º e 2ª,36202,986220952,The hostel can accommodate ten people in ten rooms.,,42.2390881520984,-8.72641772252373,,es-ES
8254,La Nueva Palma,alojamientos,24,Pensión,Pensión 1 estrella,"La Palma, 7 1ºE 2º",36202,986430678,,La pensión cuenta con 20 plazas repartidas en 10 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo026.jpg,42.2390772639938,-8.72574361939855,,es-ES
8255,Lalín,alojamientos,24,Pensión,Pensión 2 estrellas,"Avda. de La Florida, 14",36210,986232699,www.hostallalin.com,La pensión cuenta con 21 plazas repartidas en 14 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo027.jpg,42.2195541804837,-8.73505148415907,,es-ES
8273,Viturro,alojamientos,24,Pensión,Pensión 1 estrella,"Lepanto, 22",36201,986437332,,Disponte de 6 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo045.jpg,42.2346596196207,-8.71530336795484,,es-ES
8272,Vista Alegre,alojamientos,24,Pensión,Pensión 1 estrella,"Tomás A. Alonso, 204",36208,605082575,,Dispone de 13 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo044.jpg,42.2238165953766,-8.75052370458836,,es-ES
8271,Verde Mar,alojamientos,24,Pensión,Pensión 1 estrella,"Avda. Samil, 75",36200,986206372,www.hotelverdemar.es,La pensión cuenta con 44 plazas repartidas en 22 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo043.jpg,42.205607689023,-8.7765583044878,,es-ES
8270,Tres Países,alojamientos,24,Pensión,Pensión 2 estrellas,"Venezuela, 61",36204,986420477,www.hostallostrespaises.com,La pensión cuenta con 19 plazas repartidas en 11 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo042.jpg,42.2313845760635,-8.71588383008932,,es-ES
8269,Ría de Vigo,alojamientos,24,Pensión,Pensión 2 estrellas,"Cervantes, 14",36201,986737240,www.hostalriadevigo.com,La pensión cuenta con 13 plazas repartidas en 10 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo041.jpg,42.2356170221152,-8.71712092719076,,es-ES
8268,Ría de Arosa,alojamientos,24,Pensión,Pensión 2 estrellas,"Cervantes, 4",36201,986435096,,La pensión cuenta con 8 plazas repartidas en 4 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo040.jpg,42.2361680542294,-8.71674708213472,,es-ES
8266,Puerto,alojamientos,24,Pensión,Pensión 1 estrella,"Areal, 3",36201,986222044,,Dispone de 3 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo038.jpg,42.2391501864518,-8.71788865728106,,es-ES
8265,Plaza,alojamientos,24,Pensión,Pensión 2 estrellas,"Urzáiz, 75 - 3º",36204,986224254,www.hostalplazavigo.com,La pensión cuenta con 9 plazas repartidas en 6 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo037.jpg,42.2332687574994,-8.71299033254886,,es-ES
8263,Obdulia,alojamientos,24,Pensión,Pensión 1 estrella,"Avda. de Galicia, 162",36216,986279509,,La pensión cuenta con 10 plazas repartidas en 5 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo035.jpg,42.2514954033883,-8.68920886365754,,es-ES
8262,O' Rancheiro,alojamientos,24,Pensión,Pensión 2 estrellas,"Baixada ao Castelo, 70",36214,986423919,,La pensión cuenta con 24 plazas repartidas en 14 habitaciones.,,42.2147854734504,-8.68262120003004,,es-ES
8261,Nuevo Alonso,alojamientos,24,Pensión,Pensión 1 estrella,"Xestoso , 306",36214,986375878,,Dispone de 14 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo033.jpg,42.208594615496,-8.66930026578842,,es-ES
8260,Nuestra Señora del Carmen,alojamientos,24,Pensión,Pensión 1 estrella,"Do Carmo, 31",36210,986472729,,Dispone de 18 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo032.jpg,42.2189559980405,-8.72919430843667,,es-ES
8259,Noso Lar,alojamientos,24,Pensión,Pensión 1 estrella,"Urzaiz, 53 -1º",36201,986224259,www.hostalnosolar.com,La pensión cuenta con 27 plazas repartidas en 16 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo031.jpg,42.2344794223445,-8.71613101010919,,es-ES
8257,Manolo,alojamientos,24,Pensión,Pensión 1 estrella,"Tomás Paredes, 25",36208,986231096,www.pensioncasamanolo.es,Dispone de 5 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo029.jpg,42.2203968502362,-8.75379930459881,,es-ES
8256,Madrid,alojamientos,24,Pensión,Pensión 1 estrella,"Alfonso XIII, 25 - 3º",36201,986221302,,La pensión cuenta con 26 plazas repartidas en 15 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo028.jpg,42.2347520405232,-8.71477742091729,,es-ES
8229,Puerta del Sol,alojamientos,14,Hotel,Hotel de 2 estrellas,"Puerta del Sol, 14",36202,986222364,www.alojamientosvigo.com/spa/hotel_habitaciones.php,"El Puerta del Sol es un Hotel en situado en pleno centro histórico de Vigo, un nuevo concepto en hoteles de ciudad, construido en un edificio restaurado del siglo XIX y renovado recientemente.",http://www.turismodevigo.org/sites/turismodevigo/files/alo001.jpg,42.2381420065331,-8.72601112786843,,es-ES
8267,Lar Atlántica,alojamientos,24,Pensión,Pensión 1 estrella,"Urzáiz, 83-1ºA",36204,616706948,www.laratlantica.com,Dispone de 7 habitaciones.,,42.2329962513866,-8.71229788537192,,es-ES
