idpoi;title;layer;type;tipo;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
9231;El Rapto de Europa;lugares;45;Paradas del bus turístico;;;;;;;;422.112.621;-8.773.011.399.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/43_rapto_de_europa.mp3;es-ES
9232;Museo Verbum;lugares;45;Paradas del bus turístico;;;;;;;;422.119.878;-8.773.875.099.999.940;http://www.turismodevigo.org/sites/turismodevigo/files/44_museo_verbum.mp3;es-ES
9233;Playa de Samil;lugares;45;Paradas del bus turístico;;;;;;;;422.133.621;-8.774.247.899.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/45_playa_de_samil.mp3;es-ES
9234;Fin Playa de Samil;lugares;45;Paradas del bus turístico;;;;;;;;422.174.468;-8.775.430.899.999.940;http://www.turismodevigo.org/sites/turismodevigo/files/46_fin_playa_de_samil.mp3;es-ES
9235;Museo del Mar;lugares;45;Paradas del bus turístico;;;;;;;;422.226.947;-877.132.210.000.002;http://www.turismodevigo.org/sites/turismodevigo/files/47_museo_del_mar.mp3;es-ES
9236;Pazo Los Escudos;lugares;45;Paradas del bus turístico;;;;;;;;422.214.214;-8.763.142.799.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/48_pazo_los_escudos.mp3;es-ES
9237;Zona Franca;lugares;45;Paradas del bus turístico;;;;;;;;422.240.992;-8.757.817.400.000.020;http://www.turismodevigo.org/sites/turismodevigo/files/49_zona_franca.mp3;es-ES
9238;Bouzas;lugares;45;Paradas del bus turístico;;;;;;;;422.268.588;-8.752.016.599.999.930;http://www.turismodevigo.org/sites/turismodevigo/files/50_bouzas.mp3;es-ES
9239;Avenida de Beiramar;lugares;45;Paradas del bus turístico;;;;;;;;4.222.488.389.999.990;-8.751.203.499.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/51_avenida_de_beiramar.mp3;es-ES
9240;Astilleros;lugares;45;Paradas del bus turístico;;;;;;;;422.250.836;-8.747.031.900.000.020;http://www.turismodevigo.org/sites/turismodevigo/files/52_astilleros.mp3;es-ES
9241;Los lunes al sol;lugares;45;Paradas del bus turístico;;;;;;;;4.222.570.229.999.990;-8.743.694.900.000.030;http://www.turismodevigo.org/sites/turismodevigo/files/53_los_lunes_al_sol.mp3;es-ES
9242;Astilleros de Barreras;lugares;45;Paradas del bus turístico;;;;;;;;422.255.705;-8.739.477.299.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/54_astilleros_de_barreras.mp3;es-ES
9243;Primera grúa;lugares;45;Paradas del bus turístico;;;;;;;;422.265.833;-8.738.104.799.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/55_primera_grua.mp3;es-ES
9244;Empresas de congelados;lugares;45;Paradas del bus turístico;;;;;;;;422.281.712;-8.737.176.399.999.950;http://www.turismodevigo.org/sites/turismodevigo/files/56_congelados_-_frigorificos.mp3;es-ES
9245;Lonja;lugares;45;Paradas del bus turístico;;;;;;;;422.321.134;-8.734.392.299.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/57_lonjas.mp3;es-ES
9246;Berbés;lugares;45;Paradas del bus turístico;;;;;;;;422.367.572;-8.730.758.000.000.030;http://www.turismodevigo.org/sites/turismodevigo/files/59_berbes.mp3;es-ES
8592;Playa de Rodas;lugares;36;Cíes;Playas;Illa do Faro, Islas Cíes;36211;;;Es la playa más grande e importante del Parque Natural Illas Cies en el cual se halla integrada. Fue calificada como la mejor playa del mundo por prestigioso diario The Guardian.;http://www.turismodevigo.org/sites/turismodevigo/files/lug227.jpg;42.221.891.869.113;-8.903.471.372.054.120;;es-ES
8733;Monte da Guía;lugares;41;Turismo urbano;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug377.jpg;42.255.785;-870.188;http://www.turismodevigo.org/sites/turismodevigo/files/lug377es.mp3;es-ES
8685;Auditorio del Club Financiero de Vigo;lugares;37;Edificios singulares;Auditorio;García Barbón 62;36201;986447220;www.clubfinancierovigo.com;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug322.jpg;422.366.756.596.314;-871.221.986.331.063;;es-ES
8698;Salida y llegada del recorrido turístico en autobús;lugares;45;Paradas del bus turístico;Punto de origen y destino;Rúa das Avendias;36202;986291600;www.vitrasa.es;Aquí comienza y termina el recorrido  turístico en autobús descapotable por la ciudad de Vigo. Se trata de una visita guiada con una duración aproximada de de 2 horas.;http://www.turismodevigo.org/sites/turismodevigo/files/lug335.jpg;422.405.697.776.661;-872.610.666.445.775;;es-ES
8699;Terminal de Citröen;lugares;35;Puntos de información turística;Terminal de carga;Puerto de Bouzas, s/n;36208;;www.vigo.psa-peugeot-citroen.com;Gran superficie logística de la empresa Citröen destinada al almacenamiento y transporte de los modelos de vehículo que la marca fabrica en su factoría de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug343.jpg;422.283.198.335.914;-876.003.594.255.815;;es-ES
8700;Factoría PSA Peugeot Citröen;lugares;35;Puntos de información turística;Fábrica;Avda. Citroín, 3-5;36210;986215000;www.vigo.psa-peugeot-citroen.com;La planta produce cuatro vehículos distintos para las dos marcas del Grupo, cuenta con una plantilla de 6.500 empleados y sus exportaciones representan el 23,3% de las exportaciones de Galicia.;http://www.turismodevigo.org/sites/turismodevigo/files/lug344.jpg;422.077.097.351.399;-874.131.855.513.648;;es-ES
8701;Lonja de El Berbés;lugares;35;Puntos de información turística;Lonja de altura;Puerto pesquero de Vigo;36202;986821508;www.apvigo.com;Se trata de la lonja e pescado congelado más importante del mundo y la más importante de Europa en lo referente a pescado fresco.;http://www.turismodevigo.org/sites/turismodevigo/files/lug345.jpg;422.370.936.327.125;-873.098.715.156.788;;es-ES
8702;Astillero Vulcano;lugares;40;Ría de Vigo;Construcción de barcos;Calle de la Devesa Santa Tegra, 69;36207;986266161;www.factoriasvulcano.com;Factoría con larga tradición en la construcción de buques. Está afincada en la ría de Vigo desde 1919.;http://www.turismodevigo.org/sites/turismodevigo/files/lug346.jpg;422.509.603.220.018;-870.508.897.920.338;;es-ES
8703;Astillero Barreras;lugares;40;Ría de Vigo;Construcción de barcos;Avenida de Beiramar, 2;36208;986242293;www.hjbarreras.es;La empresa fue fundada en 1982  y está destinada principalmente a la cosntrucción de grandes buques tipo Ro-Ro, Ferrys, offshore, etc.;http://www.turismodevigo.org/sites/turismodevigo/files/lug347.jpg;422.269.296.448.707;-873.943.570.034.223;;es-ES
8704;Club Nautico Punta Lagoa;lugares;40;Ría de Vigo;Puerto deportivo;Camiño Lagoa, s/n;36213;986374305;www.nauticopuntalagoa.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug348.jpg;422.557.094.770.781;-870.617.713.914.583;;es-ES
8697;Samil;lugares;45;Paradas del bus turístico;Posible visita a pie;Samil;36212;986291600;www.vitrasa.es;Parada frente a la playa de Samil en Vigo;;422.109.026.146.444;-877.511.335.112.866;;es-ES
8696;O Castro de Vigo;lugares;45;Paradas del bus turístico;Posible visita a pie;Monte O Castro;36202;986291600;www.vitrasa.es;"Parada frente al yacimiento arqueológico de ""O Castro de Vigo"".";http://www.turismodevigo.org/sites/turismodevigo/files/lug333.jpg;422.307.648.632.387;-872.580.504.981.379;;es-ES
8695;Aeropuerto de Vigo;lugares;35;Puntos de información turística;Aeropuerto;Avda. do Aeroporto s/n;36218;986268200;;Aeropuertode Peinador.;http://www.turismodevigo.org/sites/turismodevigo/files/lug332.jpg;422.251.531.230.541;-86.325.065.972.232;;es-ES
8684;Auditorio de la Cámara de Comercio de Vigo;lugares;37;Edificios singulares;Auditorio;República Argentina, 18;36201;986446343;www.camaravigo.com;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug321.jpg;422.366.043.350.156;-871.884.908.268.981;;es-ES
8687;Auditorio del Museo do Mar de Galicia;lugares;37;Edificios singulares;Auditorio;Avda. Atlántida, nº 160;36208;986247750;www.museodomar.com;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug324.jpg;422.241.397.002.066;-876.992.736.745.358;;es-ES
8689;Verbum - Casa das Palabras;lugares;37;Edificios singulares;Auditorio;Avda. de Samil, nº 17;36212;986240130;www.verbum.vigo.org;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug326.jpg;422.129.670.379.203;-877.361.620.143.955;;es-ES
8690;Liceo Marítimo de Bouzas;lugares;40;Ría de Vigo;Puerto deportivo;Av. Eduardo Cabello, 8;36208;986239955;www.liceobouzas.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug327.jpg;422.267.675.141.582;-875.187.920.193.049;;es-ES
8691;Marina Davila Sport;lugares;40;Ría de Vigo;Puerto deportivo;Muelle de reparaciones de Bouzas, s/n;36208;986239955;www.davilasport.es;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug328.jpg;422.323.485.951.243;-874.438.591.710.844;;es-ES
8692;Real Club Náutico de Vigo;lugares;40;Ría de Vigo;Puerto deportivo;Paseo de las Avenidas, s/n;36202;986447441;www.rcnauticovigo.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug329.jpg;422.411.500.670.359;-872.510.280.080.097;;es-ES
8683;Auditorio Martín Códax del Conservatorio Superior de Música;lugares;37;Edificios singulares;Auditorio;Manuel Olivé, 23;36203;986471144;http://conservatoriosuperiorvigo.com;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug320.jpg;422.289.400.649.774;-872.331.004.116.441;;es-ES
8693;Club nautico de Canido;lugares;40;Ría de Vigo;Puerto deportivo;Muelle de Canido S/N;36390;986492415;www.cmcanido.com;Club nautico deportivo. Dispone de amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug330.jpg;421.945.877.417.659;-880.104.103.676.118;;es-ES
8694;Iglesia de San Francisco;lugares;37;Edificios singulares;Arquitectura religiosa;Camino de San Francisco;36202;;;Antiguo monasterio del Siglo XVII, que tiene su origen en una desaparecida ermita del siglo X. Después de la desamortización en 1887 es Casa de la Caridad.;http://www.turismodevigo.org/sites/turismodevigo/files/lug331.jpg;422.360.817.380.351;-873.089.662.653.396;;es-ES
8705;Puerto comercial de Vigo;lugares;40;Ría de Vigo;Puerto comercial;Avenida de Guixar, s/n;36201;986268000;www.apvigo.com;Espacio logístico destinado al transporte y almacenamiento de mercancías por mar.;http://www.turismodevigo.org/sites/turismodevigo/files/lug349.jpg;422.477.364.414.765;-870.888.256.040.916;;es-ES
8731;Ría de Vigo;lugares;41;Turismo urbano;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug375.jpg;42.266.566;-8.705.965;http://www.turismodevigo.org/sites/turismodevigo/files/lug375es.mp3;es-ES
8722;Estación de Autobuses de Vigo;lugares;35;Puntos de información turística;Estación de autobuses;Avenida de Madrid, 57;36204;986373411;www.vigobus.com;Estación de autobuses de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug366.jpg;422.243.132.602.791;-870.924.641.539.477;;es-ES
8723;Colexio oficial de arquitectos de Galicia;lugares;37;Edificios singulares;Arquitectura civil;Doctor Cadaval, 5;36202;986439633;www.coagvigo.es;Edificio de corte vangüardista diseñado por Irisarri y Piñera.;http://www.turismodevigo.org/sites/turismodevigo/files/lug367.jpg;422.373;-8.724.768;http://www.turismodevigo.org/sites/turismodevigo/files/lug367es.mp3;es-ES
8724;Mercado da Pedra;lugares;41;Turismo urbano;Mercado;Calle de las Ostras s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug368.jpg;4.223.989;-8.726.449;http://www.turismodevigo.org/sites/turismodevigo/files/lug368es.mp3;es-ES
8725;Praza da Constitución;lugares;41;Turismo urbano;Ponto de interesse;Praza da Constitución s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug369.jpg;42.238.511;-8.726.054;http://www.turismodevigo.org/sites/turismodevigo/files/lug369es.mp3;es-ES
8726;Praza da Porta do Sol;lugares;41;Turismo urbano;Ponto de interesse;Praza da Porta do Sol s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug370.jpg;42.238.025;-8.724.222;http://www.turismodevigo.org/sites/turismodevigo/files/lug370es.mp3;es-ES
8727;Rúa dos Cesteiros;lugares;41;Turismo urbano;Ponto de interesse;Rúa dos Cesteiros s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug371.jpg;42.238.882;-8.726.348;http://www.turismodevigo.org/sites/turismodevigo/files/lug371es.mp3;es-ES
8728;Rúa do Príncipe;lugares;41;Turismo urbano;Ponto de interesse;Rúa do Príncipe s/n;36202;;;Uno de los lugares más visitados de Vigo. Ideal para hacer compras;http://www.turismodevigo.org/sites/turismodevigo/files/lug372.jpg;42.237.019;-8.723.187;http://www.turismodevigo.org/sites/turismodevigo/files/lug372es.mp3;es-ES
8729;Churruca;lugares;41;Turismo urbano;Ponto de interesse;Rúa Churruca s/n;36202;;;Uno de los lugares más visitados de Vigo. Ideal para tomar un vino;http://www.turismodevigo.org/sites/turismodevigo/files/lug373.jpg;42.235.521;-87.174;http://www.turismodevigo.org/sites/turismodevigo/files/lug373es.mp3;es-ES
8730;Areal;lugares;41;Turismo urbano;Ponto de interesse;Rúa Areal s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug374.jpg;42.239.109;-8.716.955;http://www.turismodevigo.org/sites/turismodevigo/files/lug374es.mp3;es-ES
8686;Auditorio Zona Franca de Vigo;lugares;37;Edificios singulares;Auditorio;Área Portuaria de Bouzas s/n;36208;986269700;www.zonafrancavigo.com/zonafrancavigo_es/;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug323.jpg;422.297.450.043.917;-875.565.147.137.398;;es-ES
8732;Illas Cíes;lugares;41;Turismo urbano;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;;4.222.993;-890.417;http://www.turismodevigo.org/sites/turismodevigo/files/lug376es.mp3;es-ES
8721;Estación de FFCC;lugares;35;Puntos de información turística;Estación de tren;Areal s/n;36201;902432343;www.adif.es/es_ES/infraestructuras/estaciones/22308/informacion_000390.shtml;Estación de ferrocarril de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug365.jpg;422.391.446.195.105;-871.372.655.426.546;;es-ES
8719;Puente de Rande;lugares;40;Ría de Vigo;Puente;Ría de Vigo;;;;Fue proyectado por el ingeniero italiano Fabrizio de Miranda, el español Florencio del Pozo (que también se encargó de la cimentación) y por Alfredo Passaro. Es todo un símbolo para los vigueses.;http://www.turismodevigo.org/sites/turismodevigo/files/lug363.jpg;422.877.663.861.074;-866.049.986.605.693;;es-ES
8707;Puerto de pasajeros de Vigo;lugares;40;Ría de Vigo;Puerto de pasajeros;Estación Marítima de Ría;36202;986224757;www.apvigo.com;Espacio logístico destindado al atraque de grandes cruceros así como al transporte de personas en ferry a distintos puntos de la Ría.;http://www.turismodevigo.org/sites/turismodevigo/files/lug351.jpg;422.412.065.150.138;-872.869.939.382.685;;es-ES
